id,measurementType,measurementValue,measurementID,measurementTypeID,measurementUnit,measurementUnitID
MDIBL-habs_21A_2004-08-10T15:45:00UTC,water_temp,14,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,weather,Clear,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,wind_speed_knots,5,NA,NA,knots,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,water_surface,Ripple,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,water_current,None,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,tide_stage,Out,NA,NA,NA,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,tide_height,3.3528,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P02/current/MBAN/,meters,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,eventRemarks,"NA|Disk hit bottom",NA,NA,NA,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,salinity_ppt,33,http://vocab.nerc.ac.uk/collection/P06/current/UPPT/,http://vocab.nerc.ac.uk/collection/P01/current/ASLTZZ01/,parts per thousand,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,DO1_ppm,8.4,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,DO2_ppm,8.2,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,DOavg_ppm,8.3,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,transparency_depth_mean,3.82,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,http://vocab.nerc.ac.uk/collection/P01/current/SECCSDNX/,meters,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,air_temp,29,http://vocab.nerc.ac.uk/collection/P06/current/UPAA/,http://vocab.nerc.ac.uk/collection/P25/current/WTEMP/,Celsius,NA
