attributeName	code	definition
measurementTypeID	http://vocab.nerc.ac.uk/collection/P01/current/PHXXPR01/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementTypeID	http://vocab.nerc.ac.uk/collection/S27/current/CS026905/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementTypeID	http://vocab.nerc.ac.uk/collection/S27/current/CS026908/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementTypeID	http://vocab.nerc.ac.uk/collection/S27/current/CS026904/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementTypeID	http://vocab.nerc.ac.uk/collection/S27/current/CS026903/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementTypeID	http://vocab.nerc.ac.uk/collection/P01/current/SECCSDNX/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementTypeID	http://vocab.nerc.ac.uk/collection/P02/current/DOXY/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementTypeID	http://vocab.nerc.ac.uk/collection/P01/current/BODZZZZZ/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementUnit	meters	The units associated with the measurementValue.
measurementUnit	descriptive	The units associated with the measurementValue.
measurementUnit	degrees	The units associated with the measurementValue.
measurementUnit	dimensionless	The units associated with the measurementValue.
measurementUnit	knots	The units associated with the measurementValue.
measurementUnit	Celsius	The units associated with the measurementValue.
measurementUnit	parts per thousand	The units associated with the measurementValue.
measurementUnit	micromoles per liter	The units associated with the measurementValue.
measurementUnit	ppm	The units associated with the measurementValue.
measurementUnitID	http://vocab.nerc.ac.uk/collection/P06/current/ULAA/	The unit ID associated with the measurementUnit.
measurementUnitID	http://vocab.nerc.ac.uk/collection/P06/current/UUUU/	The unit ID associated with the measurementUnit.
measurementUnitID	http://vocab.nerc.ac.uk/collection/P06/current/UKNT/	The unit ID associated with the measurementUnit.
measurementUnitID	http://vocab.nerc.ac.uk/collection/P06/current/UPAA/	The unit ID associated with the measurementUnit.
measurementUnitID	http://vocab.nerc.ac.uk/collection/P06/current/UPPT/	The unit ID associated with the measurementUnit.
measurementUnitID	http://vocab.nerc.ac.uk/collection/P06/current/UPOX/	The unit ID associated with the measurementUnit.
measurementUnitID	http://vocab.nerc.ac.uk/collection/P06/current/UPPM/	The unit ID associated with the measurementUnit.
measurementRemarks	tide height at time of sampling	The remarks associated with the measurement.
measurementRemarks	The terms In and Out are used to describe if the tide is coming in or going out	The remarks associated with the measurement.
measurementRemarks	UTC time of closest high tide	The remarks associated with the measurement.
measurementRemarks	UTC time of closest low tide	The remarks associated with the measurement.
measurementRemarks	"Direction of wind in degrees from North measured with anemometer, 999 = not measured"	The remarks associated with the measurement.
measurementRemarks	Beaufort Wind Scale	The remarks associated with the measurement.
measurementRemarks	One minute wind speed measured from anemometer	The remarks associated with the measurement.
measurementRemarks	description of weather conditions	The remarks associated with the measurement.
measurementRemarks	Description of sea surface conditions. Analagous to the Douglass Sea Scale	The remarks associated with the measurement.
measurementRemarks	Description of the spped of the movement of water	The remarks associated with the measurement.
measurementRemarks	knots	The remarks associated with the measurement.
measurementRemarks	descriptive	The remarks associated with the measurement.
measurementRemarks	degrees Celcius	The remarks associated with the measurement.
measurementRemarks	concentration of Nitrate plus Nitrite  in seawater sample	The remarks associated with the measurement.
measurementRemarks	concentration of ammonia in seawater sample	The remarks associated with the measurement.
measurementRemarks	concentration of orthophosphate in seawater sample	The remarks associated with the measurement.
measurementRemarks	concentration of Nitrate plus Nitrite	The remarks associated with the measurement.
measurementRemarks	average of ascending and descending transparency depths	The remarks associated with the measurement.
measurementRemarks	transparency determined via secchi disk descending in water column	The remarks associated with the measurement.
measurementRemarks	transparency determined via secchi disk ascending in water column	The remarks associated with the measurement.
measurementRemarks	"pipe separated names of indivuduals involved in sampling and counting i.e. ""LastName FirstName1|LastName FirstName2"""	The remarks associated with the measurement.
measurementRemarks	Dissolved oxygen measurement	The remarks associated with the measurement.
measurementRemarks	Average of two dissolved oxygen measurements	The remarks associated with the measurement.
measurementRemarks	Dissolved oxygen measurementat day 5 	The remarks associated with the measurement.
measurementRemarks	Dissolved oxygen measurement at day 5 	The remarks associated with the measurement.
measurementRemarks	Average of two day 5 dissolved oxygen measurements	The remarks associated with the measurement.
measurementRemarks	Biological oxygen demand	The remarks associated with the measurement.
measurementUnit	millimeters	The units associated with the measurementValue.
measurementTypeID	http://vocab.nerc.ac.uk/collection/A05/current/EV_RAIN/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
