anecdata_columns,access_db_columns,measurementType,Darwin unique columns,measurementID,measurementTypeID,measurementUnit,measurementUnitID,measurementRemarks,darwin_file,parameter
pH,,pH,,pH,http://vocab.nerc.ac.uk/collection/P01/current/PHXXPR01/,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,degrees Celcius,ExtendedMeasurementOrFact,
Nutrient_bath_temperature_(C),,NULL,,,,,,NULL,,
Nutrient_Vial_Number,Nutrient Vial #,nutrient_vial_id,,,,,,NULL,,
,Nitrate + Nitrite,nitrate_plus_nitrite,,nitrate+nitrite,http://vocab.nerc.ac.uk/collection/S27/current/CS026905/,micromoles per liter,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,concentration of Nitrate plus Nitrite  in seawater sample,ExtendedMeasurementOrFact,
,Ammonia,ammonium,,ammonium,http://vocab.nerc.ac.uk/collection/S27/current/CS026908/,micromoles per liter,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,concentration of ammonia in seawater sample,ExtendedMeasurementOrFact,
,Orthophosphate,orthophosphate,,phosphate,http://vocab.nerc.ac.uk/collection/S27/current/CS026904/,micromoles per liter,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,concentration of orthophosphate in seawater sample,ExtendedMeasurementOrFact,
,Silica,silicate,,silicate,http://vocab.nerc.ac.uk/collection/S27/current/CS026903/,micromoles per liter,http://vocab.nerc.ac.uk/collection/P06/current/UPOX/,concentration of Nitrate plus Nitrite,ExtendedMeasurementOrFact,
Transparency_(m),Transparency Depth Meters,transparency_depth_mean,,Secchi,http://vocab.nerc.ac.uk/collection/P01/current/SECCSDNX/,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,average of ascending and descending transparency depths,ExtendedMeasurementOrFact,
Descending_Transparency_(m),,descending_transparency,,Secchi,http://vocab.nerc.ac.uk/collection/P01/current/SECCSDNX/,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,transparency determined via secchi disk descending in water column,ExtendedMeasurementOrFact,
Ascending_Transparency_(m),,ascending_transparency,,Secchi,http://vocab.nerc.ac.uk/collection/P01/current/SECCSDNX/,meters,http://vocab.nerc.ac.uk/collection/P06/current/ULAA/,transparency determined via secchi disk ascending in water column,ExtendedMeasurementOrFact,
Collected_By,Monitor Name,monitor_names,,Personnel,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,dimensionless,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,"pipe separated names of indivuduals involved in sampling and counting i.e. ""LastName FirstName1|LastName FirstName2""",ExtendedMeasurementOrFact,
,DO 1 (ppm),DO1_ppm,,WC_O2,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Dissolved oxygen measurement,ExtendedMeasurementOrFact,
,DO 2 (ppm),DO2_ppm,,WC_O2,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Dissolved oxygen measurement,ExtendedMeasurementOrFact,
Dissolved_Oxygen,DO Avg.,DOavg_ppm,,WC_O2,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Average of two dissolved oxygen measurements,ExtendedMeasurementOrFact,
,DO(5) 1,DO1_day5_ppm,,WC_O2,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Dissolved oxygen measurementat day 5 ,ExtendedMeasurementOrFact,
,DO(5) 2,DO2_day5_ppm,,WC_O2,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Dissolved oxygen measurement at day 5 ,ExtendedMeasurementOrFact,
,DO(5) Avg.,DO_day5_avg,,WC_O2,http://vocab.nerc.ac.uk/collection/P02/current/DOXY/,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Average of two day 5 dissolved oxygen measurements,ExtendedMeasurementOrFact,
,BOD Date,NULL,,,,,,NULL,,
,BOD,bod,,BOD,http://vocab.nerc.ac.uk/collection/P01/current/BODZZZZZ/,ppm,http://vocab.nerc.ac.uk/collection/P06/current/UPPM/,Biological oxygen demand,ExtendedMeasurementOrFact,
Phytoplanton_Sample_Method,Sample Method,sampling_method,,,,,,NULL,,
Date_e_mailed_to_DMR,Date E-Mailed to DMR,date_emailed_to_DMR,,,,,,NULL,,
__of_Alexandrium,Alexandrium,Alexandrium,,,,,,organismName value,occurrence,organismName
,Ceratium,Ceratium,,,,,,organismName value,occurrence,organismName
,Chaetoceros,Chaetoceros_spp,,,,,,organismName value,occurrence,organismName
,Chaetoceros socialis,Chaetoceros_socialis,,,,,,organismName value,occurrence,organismName
,Coscinodiscus,Coscinodiscus,,,,,,organismName value,occurrence,organismName
,Dictyocha,Dictyocha,,,,,,organismName value,occurrence,organismName
,Didylum,Ditylum,,,,,,organismName value,occurrence,organismName
__of_Dinophysis_spp__(unknown),Dinophysis,Dinophysis_spp,,,,,,organismName value,occurrence,organismName
__of_Dinophysis_acuminata,,Dinophysis_acuminata,,,,,,organismName value,occurrence,organismName
__of_Dinophysis_norvegica,,Dinophysis_norvegica,,,,,,organismName value,occurrence,organismName
